,error
638,8.334129528364894
639,8.308042247130887
640,8.291815906800053
641,8.28683145042385
642,8.266905440326513
643,8.261896996328783
644,8.237384035065313
645,8.229476419340077
646,8.229476419340077
647,8.213221616892449
648,8.19867570803989
649,8.177690152741015
650,8.165065521810329
651,8.162582238205852
652,8.158806768393006
653,8.152570915489068
654,8.152570915489068
655,8.152476350410618
656,8.148053975251866
657,8.14680351061348
658,8.140710189947557
659,8.11406305035969
660,8.113194737066591
661,8.102305824440709
662,8.09804789236075
663,8.09804789236075
664,8.097325545337346
665,8.076514966749484
666,8.065989282287402
667,8.064949745411548
668,8.022851394812292
669,8.016704160212342
670,8.011548482259482
671,7.994228902681977
672,7.988901903688651
673,7.980441794825396
674,7.980231210011654
675,7.978250067488003
676,7.972951432285643
677,7.969765796375304
678,7.947552488898425
679,7.932397117836801
680,7.929055802684461
681,7.912918402900103
682,7.905195919321501
683,7.905195919321501
684,7.9001885814095845
685,7.894834305426325
686,7.893913321372026
687,7.8887198661457
688,7.885343091522214
689,7.87303964828523
690,7.867045564355628
691,7.8550039976144195
692,7.823970836189204
693,7.803223458698659
694,7.75429595819569
695,7.74401671249006
696,7.740781404265143
697,7.73172575322558
698,7.7231245542362785
699,7.722648316539033
700,7.713548719959559
701,7.712767546477221
702,7.685705486143666
703,7.649702959742156
704,7.64471871313512
705,7.618978443571198
706,7.608532024844954
707,7.594779090395573
708,7.594779090395573
709,7.594551143635411
710,7.59115582021658
711,7.59115582021658
712,7.572614823712957
713,7.570931897598511
714,7.552107267974899
715,7.547384168696707
716,7.542228822075199
717,7.529499056460048
718,7.529499056460048
719,7.5141658254637544
720,7.5141658254637544
721,7.499351631532303
722,7.484832671423133
723,7.484192175599465
724,7.482134128132125
725,7.479635013213455
726,7.45496881330371
727,7.449044319702702
728,7.424553565419821
729,7.417583243037471
730,7.390015082019013
731,7.376198666765345
732,7.370361813998797
733,7.369121699294163
734,7.353627269691642
735,7.348367731631087
736,7.3334923022429965
737,7.319012978171674
738,7.314031585225861
739,7.308478485980194
740,7.307900554914985
741,7.3078486178707855
742,7.306791685342496
743,7.253953918736759
744,7.2262966201704435
745,7.221836613049594
746,7.214075866109549
747,7.214075866109549
748,7.167766255059693
749,7.167766255059693
750,7.167129341032354
751,7.159646637660474
752,7.150660128850525
753,7.150352448489049
754,7.149659320851975
755,7.136479682468497
756,7.133263389607527
757,7.119560627643071
758,7.111341147691676
759,7.106547213660781
760,7.091085492883778
761,7.089787694080443
762,7.0799236225877324
763,7.078408651410885
764,7.0718356356764795
765,7.058405347955826
766,7.058405347955826
767,7.04859226659913
768,7.046190562596163
769,7.039903126674499
770,7.0313638954618405
771,7.027826800467089
772,7.0259002965707005
773,7.0247131980257596
774,6.999506887833256
775,6.989414156965905
776,6.978469768011088
777,6.976634166819359
778,6.976634166819359
779,6.970038441293415
780,6.950363245848384
781,6.950123397195426
782,6.9446175618104
783,6.942532493082537
784,6.942532493082537
785,6.9336549897477635
786,6.929959949752098
787,6.919938800052142
788,6.889761452618922
789,6.882357842399258
790,6.882357842399258
791,6.873960201137526
792,6.868360339948396
793,6.868211546875229
794,6.8672830982453545
795,6.865239481989105
796,6.852027342058347
797,6.8330802609478365
798,6.8330802609478365
799,6.820560431914013
800,6.820552867238369
801,6.818154851002975
802,6.816180619509087
803,6.805566030689527
804,6.802846228252542
805,6.801656805047327
806,6.801656805047327
807,6.793053963218842
808,6.793053963218842
809,6.771074540822758
810,6.755714151541027
811,6.755714151541027
812,6.750100746862953
813,6.747692471446688
814,6.744196753783576
815,6.7336009368584895
816,6.7336009368584895
817,6.721825618694186
818,6.721825618694186
819,6.715047620626842
820,6.705021081821409
821,6.699201849970805
822,6.6989739034634805
823,6.69580389257408
824,6.695529423279684
825,6.693064208937251
826,6.68730354735861
827,6.68730354735861
828,6.674503128616042
829,6.666872345350433
830,6.66151839837372
831,6.658668425431659
832,6.6422131157626385
833,6.626303198609057
834,6.626303198609057
835,6.613864841445002
836,6.613864841445002
837,6.60942592804535
838,6.604920746785588
839,6.604920746785588
840,6.59617327486578
841,6.593282013250966
842,6.592085286103732
843,6.586088106753878
844,6.5806474446923255
845,6.574595811495154
846,6.565287030611202
847,6.526427611227889
848,6.526084292467007
849,6.52028399547995
850,6.498173530075598
851,6.498173530075598
852,6.494968054823369
853,6.490238441321314
854,6.482346497844527
855,6.478412327900772
856,6.455643752363545
857,6.4518484842996155
858,6.449475710055715
859,6.449475710055715
860,6.4364540981594836
861,6.434299389063181
862,6.43275625881719
863,6.4321777721525475
864,6.4321777721525475
865,6.417409412740687
866,6.413817222442876
867,6.399699703707801
868,6.394508157298249
869,6.393229277121745
870,6.379533659046363
871,6.369432854251004
872,6.366637420478129
873,6.356199476289105
874,6.3460091982212585
875,6.3195802512478965
876,6.317277938557054
877,6.283485584155311
878,6.283262360600506
879,6.279345227438661
880,6.270635759813214
881,6.265452400852536
882,6.260555559811295
883,6.260555559811295
884,6.251379052977501
885,6.25009398043987
886,6.247902167251687
887,6.243819939516709
888,6.243819939516709
889,6.230732421816476
890,6.2012753459885595
891,6.201008286551198
892,6.197828869897945
893,6.185166849893658
